sort,average_clustering,transitivity,global_efficiency,reciprocity,average_degree,nodes,edges
106,0.224923551,0.195437482,0.323333413,0.507796411,9.467966574,718,3399
107,0.240965295,0.190925558,0.32611249,0.498842593,9.481481481,729,3456
108,0.229113911,0.190741131,0.336569496,0.480307397,9.521341463,656,3123
109,0.214580679,0.193450086,0.329659244,0.518694765,8.95585997,657,2942
110,0.221888211,0.193992321,0.322443479,0.522462562,8.916913947,674,3005
111,0.232828376,0.20233834,0.329970446,0.512180268,9.715976331,676,3284
112,0.236544053,0.214190787,0.328847821,0.525186289,9.985119048,672,3355
113,0.232356565,0.213729198,0.3329581,0.526032316,9.887573964,676,3342
114,0.23486553,0.21136386,0.322361483,0.534498343,9.74743025,681,3319
115,0.23166221,0.200609514,0.340085205,0.501950585,9.523219814,646,3076
116,0.24541997,0.188808581,0.332565357,0.508713137,9.238390093,646,2984
117,0.203799666,0.202592039,0.315794797,0.519633508,9.054814815,675,3056
118,0.21799389,0.212592827,0.321575086,0.529789184,9.570175439,684,3273
119,0.247355785,0.219277773,0.330800868,0.526622054,10.1837037,675,3437
120,0.216181016,0.20596268,0.318639386,0.507863883,9.673582296,723,3497
