,id,lat,lon,closeness_centrality,average_neighbor_degree,degree_centrality,pagerank,hits,degree
0,EHAM,52.308601,4.76389,0.22565780410524866,21.857142857142858,0.075,0.009996826303903089,0.002867046062122532,51
1,PANC,61.174400329589844,-149.99600219726562,0.21750763510821935,41.61904761904762,0.052941176470588235,0.003350346051629569,0.006248772040411296,36
2,EDDF,50.033333,8.570556,0.22806126000696136,19.451612903225808,0.09558823529411764,0.01481761850745762,0.003654016452610086,65
3,KSDF,38.1744,-85.736,0.23415767278965047,24.5625,0.18235294117647058,0.009186711049848577,0.014725436824107782,124
4,YSSY,-33.94609832763672,151.177001953125,0.18637501422232336,17.142857142857142,0.025,0.0024321995181106125,0.0005063380486755279,17
5,EBLG,50.63740158081055,5.443220138549805,0.1668500127323657,9.666666666666666,0.010294117647058823,0.001765699105241146,8.70237948308194e-05,7
6,VHHH,22.308901,113.915001,0.199494580440872,8.454545454545455,0.0838235294117647,0.0087650950250526,0.001190024162219041,57
7,LFPG,49.012798,2.55,0.1968455206393078,22.571428571428573,0.041176470588235294,0.005601320016060801,0.0015979543260554168,28
8,KONT,34.05599975585937,-117.60099792480469,0.0,38.65384615384615,0.03823529411764706,0.0005327851440663593,0.007913385281616678,26
9,SBGR,-23.435556411743164,-46.47305679321289,0.18336038506744276,24.666666666666668,0.013235294117647059,0.0016761509596655026,0.0011459576860459088,9
10,KMIA,25.79319953918457,-80.29060363769531,0.23762239791107564,37.06382978723404,0.13676470588235293,0.00927359309966551,0.014887156819038079,93
11,RKSI,37.46910095214844,126.45099639892578,0.21973975451069824,21.35,0.058823529411764705,0.0053802559273114225,0.0022312527013106497,40
12,KOAK,37.721298,-122.221001,0.19465834818775996,28.6,0.06764705882352941,0.0027176755360020463,0.006576989110124295,46
13,YMML,-37.673302,144.843002,0.14997024490730143,14.4,0.014705882352941176,0.001787346961635891,0.00014777961923412392,10
14,OMDB,25.252799987800003,55.3643989563,0.19485517159340987,11.875,0.05,0.006188465592007306,0.0005785198101998309,34
15,KLAX,33.94250107,-118.4079971,0.24363054956495872,31.29850746268657,0.16323529411764706,0.007402976078669358,0.018255793031216116,111
16,FABA,-25.976255771599998,28.389015197800003,0.14285527405921597,21.0,0.0029411764705882353,0.0008615678275885497,0.00011857885623491762,2
17,WSSS,1.35019,103.994003,0.1720640756302521,13.571428571428571,0.029411764705882353,0.0028927684145631763,0.0008503233960981936,20
18,SAEZ,-34.8222,-58.5358,0.0,67.0,0.0014705882352941176,0.0005327851440663593,0.0004314103372114741,1
19,SBKP,-23.0074005127,-47.1344985962,0.1771247837370242,14.5,0.011764705882352941,0.0029120215944617956,0.0004976157266365851,8
20,KSEA,47.449001,-122.308998,0.23969124963418204,28.753623188405797,0.18529411764705883,0.010347304515304391,0.017469650031368803,126
21,RCTP,25.0777,121.233002,0.19194398875087884,13.8125,0.04264705882352941,0.0033758245242270666,0.00106487776171408,29
22,ELLX,49.6233333,6.204444400000002,0.14892717519774526,7.5,0.007352941176470588,0.001440652717037491,7.0980879395554565e-06,5
23,KJFK,40.63980103,-73.77890015,0.23359001782531194,37.05714285714286,0.09705882352941177,0.00526600344156391,0.010046825777965104,66
24,KHHR,33.922798,-118.334999,0.21411927201819952,0.0,0.025,0.003272748153484343,0.0,17
25,KSFO,37.61899948120117,-122.375,0.24210020691693765,32.92307692307692,0.13676470588235293,0.0062045004083860255,0.01419174885735346,93
26,EGLL,51.4706,-0.461941,0.22887382981696242,24.0625,0.08970588235294118,0.008989559795921592,0.004909748036590444,61
27,VCBI,7.180759906768799,79.88410186767578,0.13029869148470746,10.0,0.004411764705882353,0.0007084398411746091,0.00011906987256821112,3
28,RJBB,34.42729949951172,135.24400329589844,0.17424210190405276,13.0,0.029411764705882353,0.002852977203682838,0.0005088394782119662,20
29,EDDK,50.865898132299996,7.1427397728,0.0014705882352941176,24.6,0.008823529411764706,0.0006837680352839767,0.0008736844374637808,6
30,WMKK,2.745579957962,101.70999908446998,0.16373132090559248,9.333333333333334,0.026470588235294117,0.003307780234087581,0.0001881875100254893,18
31,VABB,19.088699340799998,72.8678970337,0.17160442093132888,51.333333333333336,0.008823529411764706,0.0014037124240381103,0.0007606609169532792,6
32,RJTT,35.552299,139.779999,0.19846731689586233,17.846153846153847,0.03676470588235294,0.0053381125965958325,0.0012328476342044824,25
33,KORD,41.9786,-87.9048,0.27028297995214917,18.84251968503937,0.3382352941176471,0.02203407798449253,0.024002840650830675,230
