,id,lat,lon,closeness_centrality,average_neighbor_degree,degree_centrality,pagerank,hits,degree
0,KLAX,33.94250107,-118.4079971,0.24107694684796044,32.89333333333333,0.1675,0.008538458666856125,0.016870339887682797,134
1,EHAM,52.308601,4.76389,0.20443527253668764,24.72,0.058750000000000004,0.006115909486716236,0.0028585862723136415,47
2,YSSY,-33.94609832763672,151.177001953125,0.1841654863078376,11.5625,0.04125,0.004943308876167955,0.0006046091332082607,33
3,OTHH,25.273056,51.608056,0.19139474975466145,10.866666666666667,0.035,0.003862304463243256,0.0004805940439884246,28
4,KSDF,38.1744,-85.736,0.2305333924349882,24.68041237113402,0.22,0.009457909505671052,0.01910908759104794,176
5,KONT,34.05599975585937,-117.60099792480469,0.0,36.567567567567565,0.04625,0.0005019016253808283,0.009177158308978734,37
6,VHHH,22.308901,113.915001,0.18041743755781683,10.243243243243244,0.075,0.005741169881623077,0.0016698881654446432,60
7,KCVG,39.0488014221,-84.6678009033,0.23080621301775148,35.46,0.11375,0.005813192364550928,0.012443021726387999,91
8,RKSI,37.46910095214844,126.45099639892578,0.20903670953912112,17.761904761904763,0.0575,0.004806934986654493,0.0015597258342740716,46
9,EDDF,50.033333,8.570556,0.20993675995694294,21.65625,0.08125,0.011167281889285932,0.0032925363122277116,65
10,RCTP,25.0777,121.233002,0.1706310148731409,14.266666666666667,0.02875,0.0020078947391236387,0.0009184376120750569,23
11,KOAK,37.721298,-122.221001,0.19542209418837678,35.32432432432432,0.0775,0.002895507904115893,0.009232668700737945,62
12,YMML,-37.673302,144.843002,0.14414726533628971,10.375,0.02125,0.00306445780370345,0.00013637137376470567,17
13,OMDB,25.252799987800003,55.3643989563,0.18627626552053486,13.8,0.03125,0.002896273357867064,0.0006301146166476284,25
14,ELLX,49.6233333,6.204444400000002,0.13734595070422537,59.666666666666664,0.00625,0.000986741711498834,0.000591591759009832,5
15,SBBR,-15.86916732788086,-47.92083358764648,0.0,52.0,0.00125,0.0005019016253808283,0.0003406481066246702,1
16,KMIA,25.79319953918457,-80.29060363769531,0.22162642045454545,37.71153846153846,0.12125,0.007600491341330184,0.01328495452804765,97
17,LIMC,45.6306,8.728110000000001,0.13734595070422537,6.0,0.00625,0.0011934204515920111,8.054449983800826e-06,5
18,KSEA,47.449001,-122.308998,0.23554498792270534,33.12698412698413,0.15875,0.009206967146643683,0.014499769398420981,127
19,WSSS,1.35019,103.994003,0.16389180672268908,15.538461538461538,0.0275,0.0026512890419804745,0.0005426897334217688,22
20,KHHR,33.922798,-118.334999,0.20106314432989691,4.5,0.0275,0.0035598484781044354,4.875242022977193e-05,22
21,EGLL,51.4706,-0.461941,0.22391647531572906,29.47222222222222,0.085,0.00887562044812166,0.005153843361436801,68
22,RJTT,35.552299,139.779999,0.18627626552053486,10.277777777777779,0.035,0.0023415488310312813,0.0008089924149981501,28
23,SAEZ,-34.8222,-58.5358,0.15344708890637296,20.333333333333332,0.0075,0.001337830314980945,0.0003744532779776844,6
24,RJBB,34.42729949951172,135.24400329589844,0.17633928571428573,14.75,0.02125,0.0021013601000044197,0.00034961078778054586,17
25,VTBS,13.681099891662598,100.74700164794922,0.15071966769706338,14.11111111111111,0.02,0.0015747356108707826,0.0003171245347840327,16
26,PANC,61.174400329589844,-149.99600219726562,0.19840412004069177,48.2,0.0475,0.0026892819195292947,0.005710004872884349,38
27,EKCH,55.617900848389,12.656000137328999,0.1615834714167357,16.0,0.01125,0.00225177709507648,0.00016547658237913118,9
28,LFPG,49.012798,2.55,0.20064943415637862,21.8125,0.0425,0.004889722338364248,0.001415853058155143,34
29,FABA,-25.976255771599998,28.389015197800003,0.1452,0.0,0.00125,0.0007097442023013222,0.0,1
30,KORD,41.9786,-87.9048,0.25969540612516645,18.237410071942445,0.3075,0.017687925576825175,0.02112087847634064,246
31,UUEE,55.972599,37.4146,0.16570199660152932,13.6,0.01875,0.0018166002367491097,0.0005550812355118616,15
32,KJFK,40.63980103,-73.77890015,0.21938273340832398,33.37777777777778,0.10625,0.005887510760832974,0.010040077947617989,85
33,KDTW,42.212398529052734,-83.35340118408203,0.2278402453271028,26.714285714285715,0.19,0.009262562077235996,0.01751662141375733,152
34,KATL,33.6367,-84.428101,0.2532873376623377,23.87719298245614,0.25625,0.012306714978480335,0.022330356124423207,205
35,VAJJ,19.098100662231445,72.83419799804688,0.0,84.0,0.00125,0.0005019016253808283,0.00047115857896144883,1
36,KSFO,37.61899948120117,-122.375,0.2246903801843318,37.63461538461539,0.11875000000000001,0.00695881064241705,0.013730505414509148,95
37,MDPC,18.567399978599997,-68.36340332030001,0.0,3.0,0.00125,0.0005019016253808283,1.0773759622069719e-05,1
38,KBWI,39.1754,-76.668297,0.21913623595505619,29.838709677419356,0.14625,0.007468232274765036,0.014998333210614195,117
39,KMDW,41.785999,-87.752403,0.20926099785407726,29.385964912280702,0.13125,0.005067861788892635,0.014204723174108955,105
40,LSZH,47.464699,8.54917,0.15118701550387598,19.5,0.015,0.0020967606361885524,0.0004470942539619565,12
41,LOWW,48.110298156738004,16.569700241089002,0.14876525553012968,16.333333333333332,0.0075,0.0014392667797673005,8.509067775546944e-05,6
42,FABB,-26.23859977722168,28.301799774169922,0.0,6.0,0.00125,0.0005019016253808283,2.3026161651626275e-05,1
43,SBGR,-23.435556411743164,-46.47305679321289,0.173669857524488,37.5,0.01375,0.0018122376520708463,0.0013266980587395099,11
44,EBBR,50.9014015198,4.48443984985,0.17048186188811187,32.42857142857143,0.01625,0.0028706586799722594,0.0011070463441918378,13
45,RJTL,35.79890060424805,140.01100158691406,0.15865785256410256,0.0,0.01125,0.0028809524441278235,0.0,9
46,KEWR,40.69250106811523,-74.168701171875,0.22625435034802785,41.6,0.08750000000000001,0.008936419345030559,0.009659894444101301,70
