,id,lat,lon,closeness_centrality,average_neighbor_degree,degree_centrality,pagerank,hits,degree
0,YSSY,-33.94609832763672,151.177001953125,0.20751741985119906,27.770833333333332,0.06885758998435054,0.004534989312009377,0.002122366260539071,88
1,YMML,-37.673302,144.843002,0.19137361233057515,22.575757575757574,0.04616588419405321,0.002563164582987272,0.001175606430027926,59
2,NZAA,-37.0080986023,174.79200744599999,0.2063645452964702,46.4,0.03755868544600939,0.002597317673637349,0.001898077604480341,48
3,VABB,19.088699340799998,72.8678970337,0.20659409429012587,54.035714285714285,0.04381846635367762,0.002061252355356466,0.0024290597308489616,56
4,GOBD,14.67,-17.073332999999998,0.18656764517008856,48.0,0.014084507042253521,0.0007445172131709534,0.0008863184173948437,18
5,CYYZ,43.6772003174,-79.63059997559999,0.24980240856331293,53.7752808988764,0.12441314553990611,0.004781223432006343,0.010921369307734513,159
6,VTBD,13.912599563599999,100.607002258,0.17406568956590737,27.4375,0.025821596244131457,0.0014308406233527909,0.0005595859204730455,33
7,RKSI,37.46910095214844,126.45099639892578,0.23288788810886918,52.82692307692308,0.07198748043818466,0.0027651451275924137,0.004662831811849935,92
8,RJBB,34.42729949951172,135.24400329589844,0.2020980313023103,47.793103448275865,0.03599374021909233,0.0012614379994976958,0.0021130390996837297,46
9,EGKK,51.148102,-0.190278,0.20763341617308345,37.13725490196079,0.06181533646322379,0.0019450443243352088,0.003455910703884602,79
10,YPPH,-31.94029998779297,115.96700286865234,0.1879838975372704,41.5,0.018779342723004695,0.0011355884395742213,0.0006129965447156005,24
11,VHHH,22.308901,113.915001,0.2355460884804352,45.93939393939394,0.09702660406885759,0.004732689591170421,0.004997495581870637,124
12,OTHH,25.273056,51.608056,0.2359950327405631,57.5,0.06964006259780908,0.002974464136132985,0.004290001378397174,89
13,ZGSZ,22.639299392700195,113.81099700927734,0.19107828268191682,58.72727272727273,0.01643192488262911,0.000919395072035079,0.0008431542623837741,21
14,EHAM,52.308601,4.76389,0.2664678490198324,34.58904109589041,0.2136150234741784,0.01053981325927131,0.00968460652823446,273
15,KSFO,37.61899948120117,-122.375,0.26030566330318594,46.932038834951456,0.15258215962441316,0.006090945011592381,0.010957875803859846,195
16,SLVR,-17.6448,-63.135399,0.1797948603744658,64.33333333333333,0.006259780907668232,0.0008880904988677718,0.0004123964508178918,8
17,KMIA,25.79319953918457,-80.29060363769531,0.2513235328373791,53.044444444444444,0.13067292644757433,0.004534918669678698,0.01094275147636465,167
18,FAOR,-26.1392,28.246,0.0,50.6,0.003912363067292645,0.00028389430737366924,0.0003230734159477702,5
19,LLBG,32.011398315429695,34.88669967651367,0.14403109016426766,47.333333333333336,0.03442879499217527,0.0004004171971250005,0.0033698345512715587,44
20,EDDM,48.353802,11.7861,0.25217663376350735,37.26168224299065,0.16588419405320814,0.007596094636730143,0.00750035440114409,212
21,OMDB,25.252799987800003,55.3643989563,0.24963453060056875,41.756410256410255,0.12363067292644758,0.005591963353799893,0.005616674417584819,158
22,EFHK,60.317199707031,24.963300704956,0.20387276703273674,46.06382978723404,0.07198748043818466,0.004281473261697956,0.003435832843051094,92
23,FARA,-26.084596345100003,28.390386581399998,0.18748626636517646,0.0,0.004694835680751174,0.0005796331061381832,0.0,6
24,UUWW,55.591499328599994,37.2615013123,0.16930546104541766,20.47826086956522,0.033646322378716745,0.002437155962245438,0.0007389753171965057,43
25,WMKK,2.745579957962,101.70999908446998,0.1976882285969379,30.325581395348838,0.06494522691705791,0.004155016805367919,0.0017317945293314752,83
26,RJTT,35.552299,139.779999,0.20264930798344044,56.25,0.033646322378716745,0.0014985969021834745,0.0021588202877113488,43
27,LFPG,49.012798,2.55,0.26381831074832834,38.3125,0.18857589984350548,0.007227453667361089,0.009484774765887728,241
28,EIDW,53.421299,-6.27007,0.2263596474915578,61.58974358974359,0.05868544600938967,0.0024069873847529354,0.004067136383916707,75
29,EBLG,50.63740158081055,5.443220138549805,0.182175665293598,66.4,0.006259780907668232,0.0004379431962312933,0.0006682892854386271,8
30,KSDF,38.1744,-85.736,0.2125035363464796,58.65217391304348,0.05868544600938967,0.001740498024514388,0.0060550026242149205,75
31,WSSS,1.35019,103.994003,0.22044877242352898,39.10526315789474,0.08841940532081377,0.00429854942950932,0.0034854973050917897,113
32,EDDF,50.033333,8.570556,0.2725283797018682,34.130718954248366,0.22613458528951488,0.010566790585483656,0.010260270095355595,289
33,EGLL,51.4706,-0.461941,0.27133395290989504,42.59349593495935,0.18701095461658843,0.007892333464752904,0.010723845998017163,239
34,EDDL,51.289501,6.766780000000002,0.21659252567559553,46.63265306122449,0.07276995305164319,0.0029657027592188035,0.0038577021831519413,93
35,SBKP,-23.0074005127,-47.1344985962,0.19387065842048348,28.352941176470587,0.024256651017214397,0.0016751561256192831,0.000980626607861871,31
36,KBOS,42.36429977,-71.00520325,0.2532080310386137,47.524752475247524,0.14006259780907668,0.00638350905243167,0.010999728173067174,179
37,FAGC,-25.986299514799995,28.1401004791,0.0,96.77777777777777,0.007042253521126761,0.00028389430737366924,0.0013925644293273746,9
38,LPPT,38.7813,-9.13592,0.22580922889583363,53.38095238095238,0.06651017214397496,0.0030004686406447933,0.003978525889646056,85
39,KSEA,47.449001,-122.308998,0.25286329580234607,48.59375,0.13771517996870108,0.004947234287502881,0.010984816159633932,176
40,LSZH,47.464699,8.54917,0.24058042845443414,45.07692307692308,0.12128325508607199,0.005185488864383131,0.006499785136343239,155
41,KEWR,40.69250106811523,-74.168701171875,0.2583144516923827,42.15079365079365,0.17605633802816903,0.0063599011869564185,0.013047855475550044,225
42,LIMC,45.6306,8.728110000000001,0.2233651121669551,51.044444444444444,0.06885758998435054,0.0027832771583729318,0.0037695241574791697,88
43,OMAA,24.433000564575195,54.651100158691406,0.19674585886316012,31.5,0.013302034428794993,0.0012716419556313883,0.00012040971660064829,17
44,LEMD,40.471926,-3.56264,0.23288788810886918,46.27272727272727,0.09546165884194054,0.004210657659965332,0.005385957626909963,122
45,UUDD,55.40879821777344,37.90629959106445,0.1966417054174941,47.5,0.03912363067292645,0.0027563631286163,0.0015064433175192532,50
46,YPAD,-34.945,138.53100600000002,0.17773023039887384,24.642857142857142,0.019561815336463225,0.0011805714605939244,0.00038912854397713615,25
47,KJFK,40.63980103,-73.77890015,0.2604882058440718,47.392857142857146,0.16588419405320814,0.0056176725886294705,0.012431694445479428,212
48,LFPO,48.7233333,2.3794444,0.202208046561593,31.3,0.056338028169014086,0.0024921419091764514,0.002361088495221882,72
49,UUEE,55.972599,37.4146,0.22691275597657076,38.865671641791046,0.09937402190923318,0.004792735024399854,0.0045541165553247215,127
50,YBBN,-27.38419914245605,153.11700439453125,0.1955032534387612,27.28,0.03599374021909233,0.0018981896553897828,0.00092234134682613,46
