,id,lat,lon,closeness_centrality,average_neighbor_degree,degree_centrality,pagerank,hits,degree
0,VABB,19.088699340799998,72.8678970337,0.2073086048505221,49.629629629629626,0.04089506172839506,0.0022457220228751344,0.002092426930583163,53
1,OMDB,25.252799987800003,55.3643989563,0.24896089183953052,38.93333333333333,0.13348765432098764,0.006388844335988771,0.006087911173855793,173
2,YSSY,-33.94609832763672,151.177001953125,0.20708216180863187,28.542857142857144,0.05324074074074074,0.0037314741076638113,0.0015459421675030167,69
3,KATL,33.6367,-84.428101,0.26910393063988997,30.982857142857142,0.24305555555555555,0.009972737386948604,0.014347556829723124,315
4,OTHH,25.273056,51.608056,0.23448821167075137,61.833333333333336,0.0625,0.0032235188548613907,0.004236610297532726,81
5,CYUL,45.4706001282,-73.7407989502,0.2446241537236161,66.89285714285714,0.07870370370370369,0.003020023191297547,0.007839083022934068,102
6,RCTP,25.0777,121.233002,0.2031979840683842,38.22727272727273,0.031635802469135804,0.0018275176730539148,0.0013161461454857205,41
7,EFHK,60.317199707031,24.963300704956,0.21289581037147948,40.163636363636364,0.08796296296296297,0.006208419419449276,0.003815377605862494,114
8,NZAA,-37.0080986023,174.79200744599999,0.2084482893191891,38.285714285714285,0.03009259259259259,0.001796182099216195,0.001435416304941318,39
9,SKBO,4.70159,-74.1469,0.21716348125521476,90.04347826086956,0.030864197530864196,0.0012049776914270604,0.0038676271343749164,40
10,KSFO,37.61899948120117,-122.375,0.2623996112606263,45.3394495412844,0.1550925925925926,0.00597113067474838,0.011756436889117199,201
11,VHHH,22.308901,113.915001,0.22813925287100179,38.15555555555556,0.07098765432098765,0.0040212802995239355,0.0027796451229782576,92
12,KLAX,33.94250107,-118.4079971,0.2668314132805102,43.221311475409834,0.1720679012345679,0.006287764635975151,0.012781418162263738,223
13,EDDF,50.033333,8.570556,0.2694864522186247,34.45774647887324,0.21450617283950615,0.01246031280031056,0.00913589941533762,278
14,EHAM,52.308601,4.76389,0.2604171966151133,36.57142857142857,0.18595679012345678,0.010200454271979013,0.008397643716199752,241
15,PANC,61.174400329589844,-149.99600219726562,0.22057442598697205,62.0,0.03780864197530864,0.0032112467214685915,0.0033524018072026737,49
16,EPWA,52.1656990051,20.9671001434,0.22070281622328577,60.92307692307692,0.0470679012345679,0.003000801899967521,0.0023829420161666083,61
17,LFPO,48.7233333,2.3794444,0.19514536195141788,30.692307692307693,0.039351851851851846,0.0021228422897601657,0.0016620026039218423,51
18,SSJC,-29.98305511474609,-51.30055618286133,0.18621449559255632,0.0,0.006944444444444444,0.001116958383400978,0.0,9
19,WSSS,1.35019,103.994003,0.0,67.22727272727273,0.016975308641975308,0.0002812365404081562,0.0024156861704032417,22
20,WSAP,1.3604199886322021,103.91000366210938,0.19341302136317393,0.0,0.007716049382716049,0.0008783004833217088,0.0,10
21,LEBL,41.2971,2.07846,0.21409793239503383,49.64705882352941,0.05632716049382716,0.00302762609714517,0.0028748957636766455,73
22,KSDF,38.1744,-85.736,0.23077750351284537,44.397260273972606,0.10339506172839505,0.004033318767826891,0.007965470119732004,134
23,LFPG,49.012798,2.55,0.26478173063659566,39.45132743362832,0.16898148148148148,0.008009981114982264,0.008290328218561419,219
24,YPPH,-31.94029998779297,115.96700286865234,0.18641466975005158,21.416666666666668,0.016975308641975308,0.001000822532916331,0.0002675825999147995,22
25,WMKK,2.745579957962,101.70999908446998,0.19544713312969328,24.16216216216216,0.05246913580246913,0.0029863611148860645,0.0012028251819617083,68
26,CYYZ,43.6772003174,-79.63059997559999,0.2582884456891042,50.362637362637365,0.13117283950617284,0.005360512084415751,0.010460788738277948,170
27,VTBS,13.681099891662598,100.74700164794922,0.20640579111137994,39.34782608695652,0.06867283950617284,0.003855668402699684,0.002642279236670624,89
28,UNNT,55.012599945068,82.650703430176,0.1874282937575902,50.0,0.013888888888888888,0.0010194580961502909,0.0005474082083773068,18
29,LPPT,38.7813,-9.13592,0.22979844743733635,55.642857142857146,0.0640432098765432,0.0030364255171389225,0.0038752181357739114,83
30,SBGR,-23.435556411743164,-46.47305679321289,0.22813925287100179,69.37142857142857,0.05246913580246913,0.0028122057893487447,0.004272089616083876,68
31,YMML,-37.673302,144.843002,0.19365037705393512,21.357142857142858,0.03780864197530864,0.0022451867621274654,0.0010474133339333463,49
32,OMSJ,25.32859992980957,55.5172004699707,0.16740284250401985,35.2,0.021604938271604937,0.00136841094007179,0.0007008107144513797,28
33,OMAA,24.433000564575195,54.651100158691406,0.20179214383800156,58.2,0.015432098765432098,0.0013372598250843,0.000452978816679387,20
34,KONT,34.05599975585937,-117.60099792480469,0.1981021098597727,50.45454545454545,0.033950617283950615,0.0009616648353165732,0.003976233951254533,44
35,LEMD,40.471926,-3.56264,0.23907152476141547,55.943396226415096,0.08101851851851852,0.003793077397020612,0.005284177940157743,105
36,EGKK,51.148102,-0.190278,0.1865063641276955,30.73469387755102,0.05015432098765432,0.0016629506723944312,0.003142495622649653,65
37,EGKR,51.2136001587,-0.138611003757,0.20927352779306546,0.0,0.023919753086419752,0.0023476305613105504,0.0,31
38,SBGL,-22.809999465900002,-43.2505569458,0.21433998771713111,63.57142857142857,0.030864197530864196,0.0016729044155654735,0.0024341894029420896,40
39,SBKP,-23.0074005127,-47.1344985962,0.19424561386865005,19.636363636363637,0.017746913580246913,0.0014605874230876892,0.00047608845532476785,23
40,KMIA,25.79319953918457,-80.29060363769531,0.2614947850149,52.056179775280896,0.13734567901234568,0.006255068552149895,0.01064161063193191,178
41,RKSI,37.46910095214844,126.45099639892578,0.2324754373216462,60.166666666666664,0.048611111111111105,0.002828069207702545,0.0030772960313301084,63
42,KJFK,40.63980103,-73.77890015,0.2670193227264824,45.256410256410255,0.16666666666666666,0.005972190765434153,0.012510291986733538,216
43,CA59,38.79159927368164,-121.58399963378906,0.1501184366363995,0.0,0.0007716049382716049,0.00037183241786061314,0.0,1
44,FAOR,-26.1392,28.246,0.0,87.25,0.006172839506172839,0.0002812365404081562,0.00108550485200327,8
45,KOAK,37.721298,-122.221001,0.2094847725257486,41.794871794871796,0.05324074074074074,0.0016654645116548014,0.0041416189207537256,69
