,id,lat,lon,closeness_centrality,average_neighbor_degree,degree_centrality,pagerank,hits,degree
0,YSSY,-33.94609832763672,151.177001953125,0.21206807170697678,29.4,0.05255140898705255,0.003664734236886285,0.0017066529204583197,69
1,OMDB,25.252799987800003,55.3643989563,0.24296630808533604,40.310344827586206,0.12338156892612338,0.007390582899850401,0.006180700167910869,162
2,LFPG,49.012798,2.55,0.25422532437673173,37.20388349514563,0.15003808073115005,0.007474202296204601,0.007279260378575893,197
3,KATL,33.6367,-84.428101,0.26397594699927024,26.761421319796955,0.2543792840822544,0.009875603216969751,0.01635772226460201,334
4,KJFK,40.63980103,-73.77890015,0.2598088592978405,40.411764705882355,0.16298552932216298,0.006122272347369715,0.012947146803751901,214
5,OTHH,25.273056,51.608056,0.2296975169884427,57.08888888888889,0.062452399086062454,0.002802223451489945,0.00442855002964543,82
6,SBGR,-23.435556411743164,-46.47305679321289,0.22545652650205691,56.61363636363637,0.05940594059405941,0.0036891819498632845,0.004568327510770643,78
7,EIDW,53.421299,-6.27007,0.22612993309256485,57.94285714285714,0.05407463823305408,0.003213682957017691,0.0036014703709524847,71
8,RCTP,25.0777,121.233002,0.19705440291356252,35.0,0.031226199543031227,0.001480165209399512,0.0014478446793387727,41
9,EFHK,60.317199707031,24.963300704956,0.20742000438189237,35.06122448979592,0.07463823305407465,0.004937855130334271,0.002968881812469908,98
10,KLAX,33.94250107,-118.4079971,0.2568124206220852,38.56153846153846,0.1706016755521706,0.005706964205818044,0.013872057877973291,224
11,NZAA,-37.0080986023,174.79200744599999,0.20373601076262302,39.23809523809524,0.029702970297029705,0.00174325008632009,0.0014993191305321938,39
12,EHAM,52.308601,4.76389,0.25168983244478293,34.17391304347826,0.17212490479817213,0.009779889012946508,0.007476415191293124,226
13,EDDF,50.033333,8.570556,0.2637919916355077,30.68595041322314,0.18811881188118812,0.011202171899974514,0.006977483372693328,247
14,YPPH,-31.94029998779297,115.96700286865234,0.18393659280707172,25.11111111111111,0.021325209444021324,0.0009876722538884348,0.0006266378009493655,28
15,OMAA,24.433000564575195,54.651100158691406,0.1661727427554669,48.0,0.012947448591012947,0.0007487936225259929,0.0007376225980021922,17
16,OMAM,24.248199462900004,54.5476989746,0.14244508301313605,0.0,0.0015232292460015233,0.00040384135798015474,0.0,2
17,KSDF,38.1744,-85.736,0.22586008830367157,44.38028169014085,0.09748667174409749,0.0033960141751981712,0.008688122281830801,128
18,SAEZ,-34.8222,-58.5358,0.0,40.0,0.002284843869002285,0.0002790492635173021,0.00029141662415530184,3
19,SKBO,4.70159,-74.1469,0.2153250898731249,79.78260869565217,0.029702970297029705,0.001075587667697846,0.0037197526268782023,39
20,LFPO,48.7233333,2.3794444,0.18993552834769373,21.642857142857142,0.039603960396039604,0.0027109302982401937,0.00134871873876414,52
21,EPWA,52.1656990051,20.9671001434,0.21326282140673442,50.785714285714285,0.0456968773800457,0.0028484445661709165,0.0022431241313195455,60
22,WSSS,1.35019,103.994003,0.20210438227279956,36.86,0.05864432597105865,0.00239316478978507,0.002966207495791588,77
23,WSAP,1.3604199886322021,103.91000366210938,0.21508039982616253,0.0,0.030464584920030464,0.0035348661269527138,0.0,40
24,LSZH,47.464699,8.54917,0.2291413486664368,43.704918032786885,0.09063214013709063,0.004600413916825135,0.004960584398333249,119
25,KONT,34.05599975585937,-117.60099792480469,0.179488623990969,59.45161290322581,0.026656511805026657,0.00047839276079306663,0.004297936708280279,35
26,VHHH,22.308901,113.915001,0.21969907602841185,39.42,0.07006854531607007,0.003361330087946331,0.003324531036186359,92
27,KBOS,42.36429977,-71.00520325,0.2505238305737615,44.24545454545454,0.15232292460015232,0.00840563634803042,0.012541037800710829,200
28,LPPT,38.7813,-9.13592,0.22452046737660353,52.79545454545455,0.06626047220106626,0.0036078896155096775,0.004142060866201551,87
29,CYYZ,43.6772003174,-79.63059997559999,0.24904046578746947,48.989010989010985,0.12185833968012186,0.003936152993341254,0.011602208173284842,160
30,VTBD,13.912599563599999,100.607002258,0.1546329689530039,18.272727272727273,0.015232292460015232,0.0008687522834275886,0.0002572303816699931,20
31,WMKK,2.745579957962,101.70999908446998,0.1950239608433558,28.10810810810811,0.05483625285605484,0.003446852715319399,0.0014398373149596955,72
32,KOAK,37.721298,-122.221001,0.20651473431366807,44.904761904761905,0.05635948210205636,0.0019223730266726003,0.005101188682441939,74
33,YMML,-37.673302,144.843002,0.1880484391440405,23.346153846153847,0.03731911652703732,0.0024040450272417007,0.0011335901032820453,49
34,LEMD,40.471926,-3.56264,0.23223405398586108,52.32,0.07387661843107388,0.0037303608148830706,0.004647830907417914,97
35,KPDX,45.58869934,-122.5979996,0.22267147529232564,49.41379310344828,0.08149276466108149,0.002779199000776794,0.007588039337519717,107
36,SBGL,-22.809999465900002,-43.2505569458,0.2081041825161922,58.30434782608695,0.029702970297029705,0.001432484767829122,0.0025432564747228424,39
37,EBLG,50.63740158081055,5.443220138549805,0.179488623990969,64.0,0.00456968773800457,0.0004589363880338684,0.0002978777333072745,6
38,SBKP,-23.0074005127,-47.1344985962,0.19225063890144925,20.4,0.02284843869002285,0.0023634332166982794,0.0006281052915410839,30
39,KMIA,25.79319953918457,-80.29060363769531,0.2453282618256342,48.41489361702128,0.12947448591012947,0.005599686451244236,0.011728448695716395,170
40,RJBB,34.42729949951172,135.24400329589844,0.20124482083835915,40.214285714285715,0.03731911652703732,0.0017506031915541656,0.0018757376625627663,49
41,KPHX,33.43429946899414,-112.01200103759766,0.2357045504339686,35.55833333333333,0.15232292460015232,0.0049100648459006494,0.012948554597281973,200
42,EGKK,51.148102,-0.190278,0.18619847909343512,32.42857142857143,0.0456968773800457,0.0015951110993202508,0.0028985116440139766,60
43,EGKR,51.2136001587,-0.138611003757,0.19864790488226458,0.0,0.019801980198019802,0.0022742121634795613,0.0,26
44,EGLL,51.4706,-0.461941,0.265085089633721,42.543103448275865,0.16984006092916984,0.009248625778445195,0.00964722739014825,223
45,SAAR,-32.9036,-60.785,0.15817339426250318,0.0,0.002284843869002285,0.00037174914267367663,0.00013133142164321852,3
46,YPAD,-34.945,138.53100600000002,0.17300800182676124,28.7,0.015993907083015995,0.001173789216756276,0.0002668618785542453,21
47,KABQ,35.040199,-106.609001,0.2082186512634508,67.4074074074074,0.03731911652703732,0.0011874472323085547,0.004502376774195442,49
48,KDFW,32.896801,-97.038002,0.2573361713099616,29.24550898203593,0.22467631378522468,0.011439213501602393,0.01516072180403039,295
49,KSFO,37.61899948120117,-122.375,0.2594527128149099,43.89719626168224,0.15003808073115005,0.006945197668798152,0.012108126429062322,197
50,VIDP,28.5665,77.103104,0.22465371394477957,37.604651162790695,0.06473724295506474,0.0034253735311885335,0.0027742264470636663,85
51,YBBN,-27.38419914245605,153.11700439453125,0.19031750024985097,23.565217391304348,0.03351104341203351,0.0021568355038469405,0.0009021097876592324,44
52,OMAD,24.428300857543945,54.45809936523438,0.1928943832469551,0.0,0.008377760853008377,0.0010580426557857529,0.0,11
53,FAOR,-26.1392,28.246,0.17541311770016385,54.0,0.005331302361005331,0.0004647888419199924,0.0002905634016928725,7
54,ESSA,59.651901245116996,17.918600082397,0.21717814572401237,38.204081632653065,0.07006854531607007,0.004140118078197459,0.00313261787243488,92
55,MROC,9.993860244750977,-84.20880126953125,0.22201847976360914,84.73684210526316,0.03351104341203351,0.0014513308463348026,0.0036191005414527803,44
56,KIAH,29.98439979553223,-95.34140014648438,0.2515225966757167,39.31404958677686,0.15993907083015993,0.006088224977469459,0.013784046611313754,210
57,RPLL,14.5086,121.019997,0.19870945301677354,36.785714285714285,0.03884234577303884,0.0017178109717258833,0.0018583589324141885,51
58,VTBS,13.681099891662598,100.74700164794922,0.2018888042650419,39.666666666666664,0.06702208682406702,0.003112962426046716,0.0028260720523194762,88
59,UNNT,55.012599945068,82.650703430176,0.16959744981942365,30.625,0.008377760853008377,0.0004210086520302413,0.0003359412668994188,11
60,ELLX,49.6233333,6.204444400000002,0.20696637944065258,46.52,0.03427265803503427,0.0018382144498463164,0.0018496042880604292,45
61,FACT,-33.9648017883,18.6016998291,0.19562868630333516,43.92857142857143,0.01827875095201828,0.0010012405828119576,0.0009225773937262297,24
62,LRBS,44.50320053100586,26.10210037231445,0.0,110.0,0.0007616146230007616,0.0002790492635173021,0.00024252497016153367,1
63,KIAD,38.94449997,-77.45580292,0.25202497203525537,41.154545454545456,0.1546077684691546,0.007011572085274023,0.011984040268488544,203
64,MMTJ,32.541099548339844,-116.97000122070312,0.15294606383715295,58.333333333333336,0.0030464584920030465,0.00030726533371973894,0.00045917398072436506,4
65,SKMA,4.7278,-74.2754,0.20409470227419765,0.0,0.008377760853008377,0.0008733690580874231,0.0,11
66,KSEA,47.449001,-122.308998,0.24281046054968156,42.65979381443299,0.13175932977913177,0.004802812301526164,0.011286362860389273,173
